asset,rows,n_total,swing_wr,swing_n,swing_pct_kept,vol_a_wr,vol_a_n,vol_a_pct_kept,vol_b_wr,vol_b_n,vol_b_pct_kept,vp_poc,vp_val_a,vp_vah_a,vp_val_b,vp_vah_b,vp_grosor_a_pct,vp_grosor_b_pct,vp_ticks_total,vp_hvn_touches,vp_lvn_ratio
AUDUSD,50000,41167,0.551,3078,0.075,0.534,27594,0.670,0.537,38438,0.934,0.70057,0.6482,0.71539,0.62152,0.71638,0.10119,0.14286,31847608,33627,0.507
EURUSD,113123,93670,0.544,5187,0.055,0.537,19125,0.204,0.532,59084,0.631,1.15904,1.13809,1.17193,1.07846,1.18482,0.03083,0.0969,38555732,23027,1.067
GBPUSD,50000,41704,0.544,3716,0.089,0.545,7680,0.184,0.540,30665,0.735,1.3413,1.33352,1.34324,1.29071,1.36075,0.00737,0.05309,40622970,9233,0.758
NZDUSD,50000,41175,0.515,2540,0.062,0.526,27123,0.659,0.526,30217,0.734,0.58254,0.56396,0.5967,0.56396,0.60024,0.05569,0.06171,28332841,32995,0.505
USDCAD,50000,41316,0.540,2970,0.072,0.532,32654,0.790,0.535,37442,0.906,1.41902,1.35778,1.42113,1.35567,1.43803,0.0456,0.05928,29260275,39572,0.446
USDCHF,50000,41083,0.541,3428,0.083,0.532,9743,0.237,0.531,32081,0.781,0.80801,0.79549,0.80801,0.77671,0.88313,0.01509,0.12827,26500151,11965,0.625
USDJPY,50000,42446,0.602,14776,0.348,0.576,37007,0.872,0.576,38350,0.904,147.14347,142.62677,159.33856,142.1751,159.56439,0.10983,0.11429,40097138,43629,0.204
