score_threshold,events_total,verdict,criteria_passed,criteria_failed,win_rate,ev,pf,p_value,power,robustness,failed_criteria,warnings,report
1.0,17357,FAIL,4,3,0.557584836089186,0.11516967217837183,1.260320354212788,0.0,0.9999999995676228,2/5,"profit_factor_min: 1.26 < 1.3; robustness: 2/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_019\score_1.0\EXP-019-SCORE-1.0_report.md
1.5,11879,FAIL,4,3,0.5609899823217442,0.12197996464348851,1.2778523489932887,0.0,0.9999989297003994,2/5,"profit_factor_min: 1.28 < 1.3; robustness: 2/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_019\score_1.5\EXP-019-SCORE-1.5_report.md
2.0,8366,FAIL,5,2,0.5675352617738465,0.13507052354769306,1.31232725262576,3.0870536387967715e-290,0.9998772644273438,2/5,"robustness: 2/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_019\score_2.0\EXP-019-SCORE-2.0_report.md
2.5,6132,FAIL,5,2,0.5733855185909981,0.14677103718199608,1.3440366972477065,5.130413845594712e-226,0.997891574992537,2/5,"robustness: 2/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_019\score_2.5\EXP-019-SCORE-2.5_report.md
3.0,4593,FAIL,5,2,0.5787067276290007,0.1574134552580013,1.3736434108527131,1.548996518126404e-178,0.986673926137547,2/5,"robustness: 2/5 passed, 3 failed; systemic_impact: not assessed",Reproducibility fields incomplete,src\strategy_lab\results\exp_019\score_3.0\EXP-019-SCORE-3.0_report.md
