time,open,high,low,close,ticks
1786276800,1.5542,1.5759,1.5535,1.5727,1159
1786277700,1.5727,1.5727,1.5488,1.5511,1191
1786278600,1.5511,1.5748,1.5506,1.5729,1232
1786279500,1.5729,1.5807,1.5708,1.5749,1227
1786280400,1.5749,1.577,1.557,1.5611,1194
1786281300,1.561,1.5676,1.556,1.5609,1166
1786282200,1.5614,1.5686,1.5573,1.5667,1199
1786283100,1.5667,1.5797,1.5646,1.5693,1218
1786284000,1.5693,1.5711,1.5504,1.5507,1205
1786284900,1.5509,1.5552,1.538,1.538,1236
1786285800,1.5377,1.5586,1.5351,1.5521,1188
1786286700,1.552,1.5686,1.5513,1.5624,1211
1786287600,1.5631,1.5726,1.5614,1.5651,1173
1786288500,1.5651,1.5693,1.5486,1.5536,1181
1786289400,1.5535,1.5552,1.5435,1.5473,1187
1786290300,1.5473,1.5562,1.541,1.5445,1193
1786291200,1.5445,1.5478,1.5338,1.5348,1182
1786292100,1.5348,1.538,1.5213,1.5255,1156
1786293000,1.5255,1.5324,1.5184,1.5315,1227
1786293900,1.5312,1.5407,1.5293,1.5325,1190
1786294800,1.5333,1.5423,1.5232,1.5384,1186
1786295700,1.5386,1.5417,1.5276,1.5335,1187
1786296600,1.5335,1.5387,1.5175,1.5242,1203
1786297500,1.5242,1.5268,1.5164,1.517,1226
1786298400,1.5168,1.5231,1.5113,1.5138,1174
1786299300,1.5138,1.5155,1.5065,1.5125,1199
1786300200,1.5125,1.5193,1.5013,1.5058,1200
1786301100,1.5059,1.52,1.5038,1.5168,1178
1786302000,1.5169,1.5233,1.5116,1.5135,1201
1786302900,1.5135,1.5251,1.5086,1.524,1190
1786303800,1.524,1.5254,1.5123,1.5154,1226
1786304700,1.5154,1.5244,1.5083,1.5083,1209
1786305600,1.5083,1.5092,1.4935,1.4978,1203
1786306500,1.4978,1.506,1.4924,1.4968,1173
1786307400,1.4966,1.5121,1.4952,1.4999,1223
1786308300,1.4999,1.5171,1.4967,1.5156,1197
1786309200,1.5156,1.5163,1.4943,1.5,1207
1786310100,1.5,1.5016,1.4853,1.4897,1190
1786311000,1.4897,1.5022,1.4801,1.501,1219
1786311900,1.5011,1.5017,1.4827,1.4834,1200
1786312800,1.4834,1.4859,1.4712,1.4726,1239
1786313700,1.4729,1.4777,1.457,1.4599,1225
1786314600,1.4599,1.4619,1.4402,1.4402,1231
1786315500,1.4402,1.4509,1.4358,1.4496,1189
1786316400,1.4493,1.466,1.4474,1.4581,1192
1786317300,1.4581,1.4723,1.4581,1.4659,1186
1786318200,1.4661,1.4696,1.4616,1.4632,1186
1786319100,1.4634,1.4782,1.4618,1.4738,1160
1786320000,1.4738,1.493,1.4705,1.4819,1201
1786320900,1.4819,1.5023,1.481,1.5,1218
1786321800,1.5,1.5014,1.4848,1.4912,1193
1786322700,1.4912,1.495,1.4788,1.4833,1206
1786323600,1.4833,1.4875,1.4782,1.482,1180
1786324500,1.4819,1.4896,1.4749,1.4832,1193
1786325400,1.4832,1.4905,1.4755,1.476,1179
1786326300,1.476,1.4794,1.4676,1.4676,1166
1786327200,1.4676,1.4754,1.4655,1.4681,1172
1786328100,1.4681,1.4738,1.4578,1.4597,1205
1786329000,1.4597,1.4795,1.4539,1.4769,1183
1786329900,1.4769,1.4773,1.4569,1.4671,1218
1786330800,1.4671,1.4694,1.4612,1.4629,1194
1786331700,1.4629,1.4707,1.4624,1.4683,1178
1786332600,1.4683,1.4749,1.4606,1.4705,1181
1786333500,1.4707,1.4975,1.4696,1.4972,1212
1786334400,1.4973,1.4979,1.4868,1.4972,1182
1786335300,1.4972,1.51,1.4951,1.5041,1217
1786336200,1.5031,1.5107,1.4992,1.5047,1195
1786337100,1.5047,1.5167,1.5039,1.5137,1181
1786338000,1.5137,1.5187,1.5067,1.5081,1243
1786338900,1.5087,1.5206,1.5014,1.5066,1214
1786339800,1.5066,1.5109,1.4996,1.5072,1189
1786340700,1.5077,1.5242,1.504,1.5214,1214
1786341600,1.5214,1.5344,1.5176,1.5294,1202
1786342500,1.5292,1.5377,1.5241,1.5264,1190
1786343400,1.5264,1.5278,1.5182,1.5199,1221
1786344300,1.5199,1.521,1.5124,1.5178,1197
1786345200,1.5179,1.522,1.514,1.5171,1197
1786346100,1.5169,1.5432,1.5157,1.5426,1207
1786347000,1.5426,1.5687,1.5413,1.5685,1236
1786347900,1.5683,1.5689,1.554,1.5574,1223
1786348800,1.5573,1.5584,1.543,1.5435,1214
1786349700,1.5433,1.5479,1.5323,1.5332,1197
1786350600,1.5334,1.5465,1.5306,1.5465,1217
1786351500,1.5463,1.552,1.5391,1.5391,1197
1786352400,1.5391,1.5538,1.5377,1.5479,1211
1786353300,1.5479,1.5629,1.5395,1.5597,1216
1786354200,1.5597,1.5616,1.5501,1.5509,1179
1786355100,1.5509,1.5652,1.5509,1.5598,1173
1786356000,1.5598,1.5653,1.5442,1.5524,1175
1786356900,1.5525,1.5558,1.5486,1.554,1184
1786357800,1.554,1.5673,1.5494,1.5658,1199
1786358700,1.5658,1.5683,1.5563,1.5607,1205
1786359600,1.5607,1.5695,1.5567,1.5693,1205
1786360500,1.5696,1.5772,1.5632,1.5745,1194
1786361400,1.5745,1.5753,1.5644,1.5696,1180
1786362300,1.5696,1.5956,1.5667,1.5939,1242
1786363200,1.5939,1.5942,1.5766,1.5823,1204
1786364100,1.5823,1.5864,1.5753,1.5789,1192
1786365000,1.5787,1.5802,1.5628,1.5687,1227
1786365900,1.5687,1.572,1.5598,1.5685,1166
1786366800,1.5685,1.5814,1.5682,1.5792,1218
1786367700,1.5792,1.5884,1.5744,1.5789,1192
1786368600,1.5791,1.5886,1.573,1.5853,1202
1786369500,1.5853,1.5917,1.5826,1.5857,1224
1786370400,1.5857,1.612,1.5857,1.6051,1199
1786371300,1.6051,1.6097,1.6029,1.6071,1175
1786372200,1.6071,1.6359,1.6069,1.6336,1186
1786373100,1.6336,1.6392,1.6279,1.6356,1206
1786374000,1.6356,1.6371,1.6164,1.6194,1196
1786374900,1.6194,1.6297,1.6173,1.6249,1203
1786375800,1.6249,1.629,1.6006,1.6038,1197
1786376700,1.6038,1.6055,1.5835,1.5852,1227
1786377600,1.5853,1.5906,1.58,1.5902,1163
1786378500,1.5904,1.5929,1.4855,1.4979,1195
1786379400,1.4979,1.4984,1.4792,1.4795,1211
1786380300,1.4792,1.486,1.4742,1.4854,1244
1786381200,1.4854,1.492,1.4825,1.4908,1178
1786382100,1.4908,1.5001,1.4874,1.4991,1193
1786383000,1.4991,1.5068,1.496,1.5061,1205
1786383900,1.5061,1.513,1.4924,1.4965,1190
1786384800,1.4962,1.5044,1.4912,1.5043,1206
1786385700,1.504,1.5099,1.502,1.5041,1182
1786386600,1.5041,1.5202,1.5008,1.5197,1191
1786387500,1.5198,1.5207,1.5088,1.5173,1190
1786388400,1.5173,1.5349,1.5137,1.533,1185
1786389300,1.533,1.5378,1.5265,1.5352,1213
1786390200,1.5352,1.5508,1.5256,1.5507,1170
