time,open,high,low,close,ticks
1786276800,71.95,72.46,71.75,72.02,1199
1786277700,72.02,72.46,71.59,72.1,1188
1786278600,72.1,72.45,70.82,71.04,1152
1786279500,71.08,72.73,71.08,72.51,1197
1786280400,72.51,73.81,72.48,73.53,1209
1786281300,73.55,74.82,73.39,74.82,1188
1786282200,74.83,75.31,74.64,74.95,1205
1786283100,74.95,76.2,74.87,75.5,1223
1786284000,75.5,75.7,74.76,75.29,1207
1786284900,75.29,75.52,74.41,74.65,1210
1786285800,74.65,75.39,74.65,75.23,1219
1786286700,75.22,75.85,74.56,74.8,1153
1786287600,74.8,75.22,74.17,74.35,1194
1786288500,74.35,75.45,73.76,75.43,1183
1786289400,75.46,75.66,74.43,74.51,1202
1786290300,74.47,76.46,74.46,76.27,1174
1786291200,76.27,76.31,75.23,75.52,1236
1786292100,75.52,75.89,75.24,75.37,1189
1786293000,75.35,75.37,74.11,74.29,1180
1786293900,74.3,74.55,73.54,73.71,1215
1786294800,73.72,73.87,72.8,73.2,1168
1786295700,73.2,73.57,72.68,72.92,1197
1786296600,72.91,73.28,72.0,72.18,1206
1786297500,72.15,72.24,71.34,71.6,1213
1786298400,71.64,72.09,70.91,71.63,1211
1786299300,71.63,71.74,70.88,71.05,1179
1786300200,71.04,71.3,70.5,70.74,1210
1786301100,70.74,71.07,70.25,70.25,1180
1786302000,70.25,70.95,70.11,70.14,1166
1786302900,70.14,70.3,69.65,70.22,1183
1786303800,70.22,70.46,69.53,70.01,1135
1786304700,70.01,70.3,69.5,70.06,1218
1786305600,70.06,70.76,69.89,70.65,1178
1786306500,70.65,70.67,70.11,70.45,1181
1786307400,70.45,70.93,69.45,69.54,1193
1786308300,69.54,69.83,69.14,69.37,1219
1786309200,69.37,69.56,68.61,68.7,1176
1786310100,68.7,69.03,67.83,67.97,1184
1786311000,67.97,68.49,67.6,68.45,1205
1786311900,68.44,69.08,68.04,68.56,1222
1786312800,68.56,69.13,67.53,69.11,1188
1786313700,69.1,69.1,67.87,67.89,1206
1786314600,67.89,68.26,67.18,67.21,1216
1786315500,67.21,67.87,66.61,67.63,1202
1786316400,67.63,69.13,67.44,69.12,1207
1786317300,69.12,69.52,68.66,69.39,1154
1786318200,69.38,69.5,68.62,68.97,1196
1786319100,68.99,69.95,68.96,69.74,1213
1786320000,69.74,70.08,68.77,68.82,1193
1786320900,68.82,69.11,67.84,68.72,1186
1786321800,68.72,68.73,68.14,68.28,1224
1786322700,68.3,68.79,68.06,68.26,1203
1786323600,68.26,68.54,67.77,68.37,1196
1786324500,68.37,68.96,68.25,68.34,1227
1786325400,68.34,69.4,68.32,68.87,1187
1786326300,68.87,69.25,68.31,68.8,1205
1786327200,68.79,69.6,68.57,69.06,1208
1786328100,69.06,70.64,69.04,69.94,1199
1786329000,69.94,70.8,69.74,70.29,1214
1786329900,70.29,70.36,69.62,69.84,1192
