sep_bucket,count,original_winrate,reach_2,winrate_wait_2,reach_3,winrate_wait_3,reach_4,winrate_wait_4,reach_5,winrate_wait_5,reach_6,winrate_wait_6
2-3,504,0.35912698412698413,504,0.35912698412698413,504,0.2698412698412698,503,0.24055666003976142,503,0.2147117296222664,497,0.18712273641851107
3-4,259,0.3204633204633205,259,0.3204633204633205,259,0.28957528957528955,259,0.19305019305019305,257,0.1867704280155642,254,0.18110236220472442
4-5,122,0.4180327868852459,122,0.4180327868852459,122,0.4016393442622951,122,0.36065573770491804,122,0.26229508196721313,119,0.18487394957983194
>5,61,0.5901639344262295,61,0.5901639344262295,61,0.5245901639344263,61,0.5081967213114754,61,0.4262295081967213,61,0.39344262295081966
