threshold,events_reached,events_not_reached,pct_reached,winrate_if_waited,avg_wait_cycles,median_wait_cycles
2.0,946,0,1.0,0.37103594080338265,0.0,0.0
3.0,946,0,1.0,0.3086680761099366,0.5961945031712473,1.0
4.0,945,1,0.9989429175475687,0.26031746031746034,1.2042328042328043,1.0
5.0,943,3,0.9968287526427061,0.22693531283138918,1.8918345705196182,1.0
6.0,931,15,0.9841437632135307,0.19871106337271752,2.728249194414608,1.0
