evento,n,wr_15m,wr_5m,ev_15m,ev_5m,p_15m,p_5m,dt_desde_cruce_med,dt_total_med,p_adj_fdr_5m
pinbar,112,0.4286,0.4911,-0.6357,-0.5826,0.15606630199376767,0.9247750936572274,1.3,45.66,0.018028
continuacion,191,0.3089,0.4031,-0.7374,-0.6573,1.3461523373328464e-07,0.009013932917080615,1.29,46.68,0.018028
