duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
10,4.0,1.0,10,1,2,17.04,6.31,6.54
17,14.0,4.0,2,1,2,10.58,5.4,3.826
24,5.0,1.0,24,5,3,18.18,5.27,-2.828
11,,2.0,2,1,0,15.46,6.93,7.038
44,15.0,2.0,2,7,6,13.9,5.03,-1.64
21,3.0,1.0,15,3,3,23.03,7.9,3.009
18,7.0,2.0,18,3,2,13.76,5.15,-3.859
35,7.0,1.0,35,7,4,14.89,6.73,2.07
13,13.0,1.0,2,1,1,13.81,5.19,-5.64
7,6.0,1.0,7,1,1,15.14,9.59,10.09
20,8.0,2.0,2,3,2,12.32,4.5,-3.363
53,1.0,4.0,2,13,6,13.54,3.61,1.33
43,15.0,1.0,7,9,4,15.11,4.96,-1.683
54,2.0,2.0,2,9,6,17.44,4.46,1.306
7,3.0,1.0,7,1,2,14.02,9.59,-10.018
101,10.0,1.0,2,17,15,20.12,5.12,0.721
41,9.0,8.0,2,5,4,17.36,3.97,1.586
22,1.0,1.0,2,5,3,16.64,6.24,-2.99
121,2.0,1.0,3,23,12,18.8,4.78,0.26
9,,2.0,9,1,0,11.1,7.43,7.222
12,,1.0,5,3,0,16.95,6.3,-5.183
51,10.0,2.0,2,11,8,16.28,5.21,1.399
35,16.0,3.0,2,7,4,13.43,4.41,-2.129
119,6.0,3.0,2,21,20,18.54,5.47,0.624
30,2.0,5.0,2,7,3,10.29,2.97,-2.34
43,2.0,7.0,2,9,4,17.93,3.92,1.763
64,3.0,1.0,2,17,5,12.08,3.87,-1.164
15,13.0,1.0,2,3,1,17.68,5.64,4.849
20,18.0,3.0,2,5,1,13.28,4.34,3.329
53,16.0,1.0,40,11,5,14.36,5.45,-1.341
40,4.0,2.0,2,9,4,19.44,6.88,1.848
12,11.0,2.0,2,1,1,11.34,5.7,-5.577
24,10.0,3.0,2,7,3,17.98,4.56,-2.801
7,,1.0,7,1,0,15.66,9.39,9.893
68,14.0,4.0,2,11,8,13.38,4.01,-0.9
72,2.0,1.0,11,17,8,18.98,5.22,1.004
59,13.0,5.0,2,9,7,15.49,5.29,-1.274
68,16.0,1.0,7,15,6,10.91,4.18,1.008
17,1.0,2.0,2,3,2,13.6,4.96,-4.155
6,4.0,1.0,6,1,2,17.48,11.12,11.771
14,3.0,2.0,2,3,2,12.42,5.24,-5.047
29,1.0,5.0,2,7,3,16.15,4.44,2.236
17,8.0,2.0,2,3,2,9.45,4.41,-3.995
61,14.0,4.0,2,11,7,18.16,5.77,1.072
11,3.0,3.0,2,1,2,20.63,7.18,-6.619
20,19.0,2.0,2,3,1,10.98,5.03,3.637
31,10.0,1.0,17,3,3,15.15,6.51,-2.203
43,12.0,1.0,2,9,6,19.08,5.44,1.477
31,6.0,1.0,31,7,5,13.25,4.49,-2.071
32,3.0,1.0,32,7,5,17.72,5.53,2.112
14,2.0,1.0,14,3,3,13.58,5.6,-4.884
25,5.0,2.0,2,3,3,15.27,6.56,2.69
47,25.0,2.0,2,7,4,16.15,5.11,-1.56
19,8.0,2.0,2,3,3,14.33,7.03,3.468
72,4.0,3.0,2,15,11,19.98,6.07,0.868
18,1.0,2.0,2,5,2,11.77,4.36,-3.87
21,8.0,2.0,21,5,3,16.4,9.12,3.264
62,6.0,2.0,2,11,9,16.22,4.72,-1.093
12,1.0,5.0,2,1,3,15.66,6.37,5.471
23,10.0,1.0,2,7,3,13.86,3.97,-2.78
8,,1.0,8,1,0,11.7,8.12,8.738
55,8.0,2.0,2,9,12,13.32,5.15,-1.299
106,13.0,6.0,2,19,12,17.64,4.91,0.64
46,11.0,4.0,2,7,6,19.14,6.09,-1.42
81,16.0,4.0,2,15,9,19.09,6.1,0.864
35,6.0,2.0,3,7,4,21.95,4.07,-1.887
24,3.0,2.0,9,5,3,18.18,5.7,3.082
57,12.0,3.0,2,9,8,18.27,5.43,-1.079
32,5.0,3.0,2,7,3,14.44,5.37,2.247
46,22.0,2.0,2,9,5,13.75,4.59,-1.657
19,13.0,1.0,19,5,3,11.9,5.36,3.29
79,5.0,1.0,2,13,5,16.06,4.12,-0.813
84,13.0,3.0,2,15,11,19.2,5.47,0.861
24,9.0,1.0,8,5,2,15.3,7.15,-2.891
54,5.0,3.0,2,9,7,15.57,5.64,1.456
44,15.0,3.0,2,5,8,13.08,5.7,-1.702
60,8.0,3.0,2,13,8,13.91,4.76,1.189
61,7.0,3.0,2,13,10,13.72,4.55,-1.191
40,15.0,2.0,2,7,6,10.1,4.34,1.797
22,5.0,2.0,2,5,2,11.78,4.08,-3.055
8,6.0,2.0,2,1,1,17.94,8.73,8.723
22,2.0,1.0,22,5,2,16.32,6.26,-3.206
45,13.0,3.0,2,5,2,19.72,5.45,1.591
16,15.0,1.0,16,3,1,9.6,4.22,-3.972
33,3.0,6.0,2,5,2,11.82,3.29,2.112
8,4.0,1.0,8,1,1,11.21,8.15,-8.648
35,1.0,5.0,2,5,5,12.59,4.31,1.975
22,22.0,2.0,2,3,1,13.26,3.94,-3.331
13,1.0,1.0,13,1,3,12.19,5.19,5.242
76,5.0,1.0,7,17,8,20.0,4.14,-0.873
5,4.0,1.0,5,1,1,21.15,14.16,15.24
50,16.0,1.0,2,9,5,17.46,4.53,-1.42
49,10.0,3.0,2,13,8,18.98,4.98,1.398
37,1.0,1.0,17,9,3,18.18,4.57,-1.701
93,4.0,2.0,2,13,14,14.9,4.73,0.705
30,9.0,2.0,2,5,4,20.42,6.33,-2.475
24,3.0,2.0,2,5,3,16.45,3.56,3.009
40,17.0,8.0,2,3,2,15.23,5.0,-1.734
19,4.0,2.0,2,5,3,13.94,5.36,3.818
69,7.0,2.0,2,15,5,18.11,4.13,-1.144
37,15.0,1.0,2,9,4,11.61,4.48,2.089
8,6.0,1.0,8,1,2,11.94,8.54,-8.848
20,1.0,5.0,2,3,3,19.72,5.74,3.557
21,8.0,2.0,2,3,2,14.34,4.33,-3.374
33,16.0,2.0,2,7,3,10.17,3.18,2.25
37,6.0,5.0,2,5,2,11.38,3.4,-1.92
45,11.0,4.0,2,9,5,15.57,4.76,1.586
50,3.0,1.0,15,9,7,10.66,4.21,-1.347
9,8.0,3.0,2,1,1,12.45,8.71,7.494
16,1.0,2.0,2,3,3,9.06,4.27,-4.43
19,3.0,1.0,2,5,2,11.55,4.48,3.525
15,13.0,3.0,2,3,1,12.68,6.83,-4.831
32,2.0,1.0,2,9,5,12.92,4.14,2.027
43,15.0,4.0,2,11,5,17.8,5.65,-1.5
74,2.0,1.0,37,17,12,16.08,5.96,0.847
43,16.0,3.0,2,9,3,15.06,4.41,1.567
14,4.0,2.0,2,3,2,9.81,5.57,-5.406
28,4.0,1.0,28,5,8,11.18,4.45,2.546
20,1.0,3.0,2,3,3,10.99,4.25,-3.609
22,1.0,1.0,7,5,4,17.65,7.25,3.203
59,17.0,2.0,2,11,7,17.62,5.56,-1.308
22,8.0,2.0,2,5,3,10.7,3.83,2.835
64,11.0,1.0,14,15,4,11.99,3.47,-1.025
23,7.0,8.0,23,2,5,8.22,4.92,2.895
10,9.0,2.0,2,1,1,11.52,7.47,-7.154
42,8.0,1.0,2,7,5,17.51,4.8,1.456
35,10.0,2.0,2,7,6,16.73,7.24,-1.94
12,11.0,3.0,2,1,1,14.59,6.91,6.069
25,14.0,1.0,4,5,3,15.21,5.33,-2.924
33,11.0,6.0,2,7,3,17.91,6.02,2.198
29,5.0,1.0,2,5,3,10.03,3.62,-2.567
37,2.0,3.0,2,7,2,12.22,2.56,1.959
54,5.0,2.0,7,13,8,16.46,5.09,-1.219
43,16.0,2.0,2,9,3,18.91,4.58,1.672
59,2.0,2.0,2,9,10,21.55,5.42,-1.396
13,13.0,2.0,2,3,1,19.33,6.03,5.795
117,20.0,5.0,2,19,16,16.29,4.58,-0.639
13,12.0,2.0,2,3,1,17.49,6.2,5.981
106,5.0,1.0,2,25,13,18.56,4.09,-0.624
20,2.0,4.0,2,3,3,15.74,6.33,3.342
17,1.0,5.0,2,3,2,11.07,5.22,-3.902
25,19.0,2.0,2,7,2,12.2,4.02,3.016
23,3.0,3.0,2,5,3,16.85,4.13,-3.387
23,10.0,2.0,2,3,2,11.64,5.79,3.196
15,2.0,6.0,2,1,2,10.96,5.03,-4.285
44,4.0,1.0,8,7,6,19.31,5.86,1.524
10,5.0,2.0,2,1,2,13.84,6.42,6.316
27,2.0,2.0,3,5,3,11.84,3.87,-2.401
56,9.0,2.0,2,13,8,17.74,5.99,1.278
13,2.0,2.0,2,3,1,17.77,5.49,-5.265
11,3.0,2.0,11,3,3,11.3,6.03,6.289
45,4.0,1.0,6,9,6,11.19,3.91,-1.49
4,1.0,1.0,4,1,1,22.22,16.51,17.188
25,15.0,4.0,7,4,2,14.25,5.5,-2.598
42,3.0,2.0,2,9,5,9.66,3.28,1.588
7,2.0,,7,0,2,13.71,8.5,-9.023
47,1.0,3.0,2,9,7,10.64,3.64,1.627
28,21.0,4.0,2,7,3,16.35,4.72,-2.732
19,15.0,1.0,8,3,2,14.86,5.94,3.677
26,1.0,2.0,2,5,3,17.23,3.89,-3.049
9,4.0,1.0,9,1,2,14.45,8.23,8.664
15,1.0,1.0,2,1,3,10.6,4.42,-4.546
9,,2.0,9,1,0,11.39,7.36,7.495
15,,3.0,2,3,0,20.28,6.31,-4.554
61,7.0,2.0,2,11,9,16.53,5.94,1.189
14,,4.0,2,1,0,11.06,5.89,-4.92
15,12.0,1.0,3,5,1,14.71,5.33,4.363
34,5.0,1.0,6,7,5,13.36,4.3,-2.02
19,,3.0,2,3,0,15.68,4.65,3.842
23,3.0,6.0,2,3,2,10.15,4.38,3.015
11,,1.0,11,1,0,13.98,5.77,-5.982
28,13.0,3.0,2,3,3,11.85,4.74,2.638
21,7.0,2.0,2,3,1,9.78,3.83,-3.389
4,2.0,1.0,4,1,1,22.29,14.83,-16.453
66,1.0,1.0,5,17,8,20.34,5.28,1.016
39,2.0,1.0,2,9,5,19.0,4.83,-1.851
23,18.0,6.0,2,5,2,21.34,5.05,3.339
13,8.0,2.0,2,1,1,12.75,5.7,-5.908
11,11.0,1.0,2,1,1,14.02,6.14,6.402
5,3.0,1.0,5,1,2,22.35,14.25,-15.015
31,1.0,1.0,16,7,5,17.37,6.22,2.242
16,15.0,3.0,2,3,1,20.25,5.99,-4.89
8,6.0,1.0,8,1,1,15.9,8.36,8.743
10,3.0,1.0,10,1,2,11.2,6.28,-6.642
12,8.0,3.0,2,1,2,10.67,6.6,6.328
22,8.0,2.0,2,5,4,13.53,4.72,-3.423
16,2.0,1.0,2,3,3,12.24,4.94,4.42
15,9.0,2.0,2,5,2,16.27,5.67,-4.806
6,5.0,2.0,2,1,1,22.35,11.41,11.464
5,4.0,1.0,5,1,1,18.26,12.08,-13.35
41,2.0,1.0,9,7,9,14.05,5.82,1.701
39,8.0,4.0,2,11,4,18.26,4.68,-1.963
37,4.0,3.0,2,7,4,19.46,4.41,2.038
48,21.0,1.0,8,7,3,20.19,6.06,-1.271
77,2.0,1.0,77,13,18,13.8,4.92,0.82
15,15.0,2.0,2,3,1,20.42,4.79,-4.613
13,3.0,1.0,13,3,3,12.59,5.64,5.684
97,3.0,1.0,40,21,16,18.55,5.03,-0.704
13,1.0,2.0,2,3,1,16.79,6.74,5.751
23,12.0,3.0,2,5,2,10.03,4.14,-2.971
16,2.0,1.0,10,3,2,19.63,7.33,3.816
26,6.0,1.0,10,3,3,16.15,3.97,-2.526
58,11.0,1.0,2,9,6,18.79,5.48,1.346
14,13.0,1.0,2,1,1,15.28,5.44,-5.849
24,2.0,2.0,2,7,5,14.18,5.25,2.957
44,9.0,2.0,28,5,3,11.03,5.01,-1.629
46,1.0,4.0,2,9,6,19.48,4.86,1.584
74,2.0,1.0,8,11,12,15.21,5.68,-0.966
94,2.0,1.0,47,19,14,16.87,4.35,0.675
13,2.0,5.0,2,1,4,14.73,5.55,-4.882
28,4.0,3.0,2,5,3,11.1,3.93,2.715
31,8.0,2.0,2,5,4,14.01,7.09,-2.363
10,9.0,3.0,2,1,1,22.18,7.32,7.106
45,1.0,2.0,2,13,3,17.39,3.94,-1.642
48,2.0,1.0,2,7,10,12.27,4.42,1.433
13,6.0,2.0,2,3,3,12.5,6.09,-5.481
23,7.0,3.0,2,5,6,18.18,7.18,3.154
12,1.0,1.0,12,3,1,15.81,5.94,-5.509
46,21.0,2.0,2,7,4,12.24,4.22,1.519
41,15.0,2.0,2,9,4,14.56,5.56,1.747
73,31.0,9.0,2,15,6,19.22,4.86,-0.986
10,3.0,1.0,10,1,1,10.39,6.32,6.629
31,25.0,3.0,2,7,2,13.63,4.02,-2.277
20,11.0,3.0,2,5,3,17.57,4.31,3.481
26,3.0,2.0,26,5,6,13.41,6.17,-2.633
66,11.0,3.0,2,13,7,19.89,6.17,1.071
47,12.0,2.0,2,7,6,16.29,6.1,-1.624
25,2.0,2.0,25,5,4,11.75,4.74,2.873
27,18.0,2.0,2,7,2,20.42,5.92,-2.751
40,5.0,3.0,2,11,5,19.71,4.22,1.725
73,2.0,5.0,2,13,13,18.44,4.95,-0.956
15,7.0,3.0,2,3,1,18.03,5.71,4.993
60,2.0,1.0,15,11,10,14.31,4.77,-1.243
18,4.0,2.0,2,3,2,11.77,5.2,4.18
7,6.0,1.0,7,1,1,19.63,10.07,-10.672
30,3.0,1.0,17,3,7,18.62,6.49,2.253
51,6.0,2.0,11,11,9,19.84,6.08,-1.328
9,3.0,2.0,9,1,2,14.87,7.68,7.854
12,,1.0,5,3,0,20.2,7.67,-5.919
41,15.0,2.0,2,9,6,15.16,5.05,1.773
10,,2.0,5,3,0,17.14,6.54,6.219
20,2.0,3.0,2,7,1,17.59,4.28,-3.462
8,8.0,1.0,8,1,1,15.69,7.8,8.29
8,,1.0,8,1,0,10.14,8.23,-8.693
29,1.0,6.0,2,3,2,13.0,3.79,2.47
51,7.0,1.0,14,11,7,18.18,5.88,-1.282
8,5.0,2.0,8,1,1,14.94,8.26,7.905
42,1.0,3.0,2,9,6,12.19,4.69,-1.568
51,4.0,3.0,2,11,8,16.42,4.8,1.365
69,5.0,2.0,2,19,7,14.47,3.32,-1.039
40,19.0,4.0,2,9,4,13.27,4.36,1.833
47,4.0,5.0,2,5,4,13.65,5.18,-1.523
26,11.0,2.0,2,5,5,15.16,4.86,2.673
64,3.0,2.0,2,13,8,17.79,5.5,-1.054
17,11.0,3.0,2,1,1,10.76,4.72,3.948
74,17.0,1.0,16,21,9,21.34,5.66,-0.981
38,5.0,2.0,2,7,4,15.55,5.17,1.973
27,14.0,9.0,2,5,3,17.29,5.11,-2.548
26,1.0,5.0,2,5,2,12.32,4.2,2.552
12,10.0,1.0,6,3,1,14.67,6.68,-5.495
23,1.0,1.0,3,7,6,11.02,4.73,2.67
44,10.0,2.0,2,7,7,17.59,5.71,-1.617
9,2.0,2.0,2,1,2,20.19,7.75,7.717
19,2.0,5.0,2,1,2,11.78,4.27,-3.597
42,6.0,1.0,7,7,4,13.19,4.16,1.66
35,1.0,4.0,2,7,4,19.63,6.24,2.108
41,5.0,1.0,16,9,6,12.18,5.7,-1.834
21,6.0,1.0,2,5,3,17.22,6.24,3.429
105,2.0,2.0,2,25,11,16.93,3.18,-0.737
96,2.0,2.0,2,23,11,11.25,4.04,0.748
27,2.0,1.0,9,7,3,23.56,5.7,-2.334
58,15.0,1.0,17,13,2,9.03,3.32,1.212
19,2.0,2.0,19,5,4,14.34,5.25,-3.696
58,9.0,1.0,2,13,7,17.35,5.07,1.263
30,2.0,2.0,2,9,3,19.01,6.53,-2.4
37,18.0,6.0,19,8,3,17.61,5.1,1.631
78,16.0,1.0,17,17,9,16.29,5.28,-0.876
42,2.0,1.0,8,9,7,21.98,5.2,1.572
63,4.0,1.0,6,11,8,16.57,4.84,-1.102
113,3.0,1.0,6,21,16,17.66,5.04,0.667
18,4.0,1.0,2,3,4,7.99,4.06,-3.978
121,4.0,4.0,2,25,14,14.64,4.71,-0.154
37,9.0,3.0,2,5,3,14.6,4.44,1.667
4,2.0,1.0,4,1,1,21.85,15.88,-17.029
23,2.0,2.0,2,7,4,15.22,3.84,3.271
14,2.0,2.0,2,3,4,11.88,5.16,-5.035
28,3.0,4.0,2,5,2,11.98,4.19,2.524
42,3.0,1.0,2,9,4,17.93,4.58,-1.642
6,6.0,2.0,6,1,1,18.83,11.0,11.457
13,12.0,3.0,2,1,1,10.5,5.94,4.749
12,9.0,2.0,2,3,1,18.93,6.87,-5.983
69,12.0,4.0,2,17,7,16.2,4.49,0.998
35,1.0,3.0,9,8,4,14.31,3.33,-1.78
22,9.0,2.0,2,5,3,7.04,4.01,3.305
14,3.0,2.0,2,3,3,15.04,5.39,-4.696
99,3.0,1.0,5,21,15,18.08,5.87,0.718
36,15.0,2.0,2,7,4,10.69,4.42,-2.092
33,1.0,5.0,2,3,4,18.17,5.7,1.939
28,15.0,2.0,2,7,2,19.42,6.01,-2.551
11,,3.0,2,1,0,16.71,6.8,6.2
16,11.0,3.0,2,1,2,9.7,5.0,4.074
27,4.0,1.0,27,9,5,17.02,4.76,-2.447
41,16.0,2.0,15,9,3,16.68,5.35,1.567
10,3.0,3.0,2,1,2,14.17,7.56,-6.91
15,4.0,1.0,6,3,2,21.0,6.93,4.151
43,8.0,3.0,2,7,3,16.14,4.07,-1.528
26,15.0,1.0,9,3,3,12.22,4.32,2.803
20,20.0,2.0,2,5,1,14.52,4.61,-3.962
20,,2.0,2,5,0,20.2,4.62,4.007
66,3.0,2.0,2,17,7,17.14,4.64,-1.137
59,15.0,1.0,5,11,5,13.87,4.81,1.109
106,1.0,5.0,2,23,15,16.33,5.48,-0.683
11,1.0,2.0,2,1,1,13.49,6.82,6.675
42,12.0,3.0,2,9,7,14.37,4.55,-1.709
69,5.0,1.0,8,9,6,17.49,4.44,0.948
35,1.0,5.0,2,3,6,12.45,4.55,-1.947
21,3.0,1.0,21,3,3,16.18,6.89,3.145
76,8.0,4.0,2,13,11,18.89,5.49,-0.839
22,4.0,1.0,22,7,5,15.6,6.75,2.816
53,16.0,2.0,2,9,5,20.03,6.06,-1.482
13,12.0,2.0,2,1,1,19.46,5.54,5.732
18,17.0,6.0,2,1,1,11.45,4.59,-4.05
39,2.0,1.0,4,9,4,16.43,4.72,1.689
49,9.0,4.0,2,5,8,15.42,5.44,-1.396
36,14.0,3.0,2,5,2,17.39,4.17,1.943
114,28.0,1.0,2,27,12,18.49,3.83,-0.56
14,2.0,8.0,2,1,2,13.94,5.3,4.68
29,14.0,5.0,2,5,4,11.53,4.74,-2.459
13,5.0,2.0,13,3,1,11.79,7.73,5.068
30,22.0,5.0,2,5,4,16.3,3.09,-2.377
28,15.0,1.0,11,5,3,15.79,4.65,2.231
121,4.0,2.0,2,24,12,17.65,4.36,-0.052
14,5.0,4.0,2,1,1,15.29,5.51,-4.452
53,2.0,2.0,2,15,7,20.12,4.22,1.271
14,5.0,2.0,2,3,3,13.34,6.48,-5.368
18,2.0,1.0,2,5,2,13.81,4.25,3.702
38,15.0,2.0,2,5,6,15.56,5.31,-1.933
19,3.0,1.0,19,5,5,9.47,5.11,3.45
88,18.0,2.0,2,19,6,16.79,4.88,-0.796
36,3.0,1.0,14,7,7,17.45,6.44,1.763
15,2.0,6.0,2,1,3,15.5,5.53,-4.448
36,11.0,2.0,2,3,3,16.89,5.65,2.085
60,5.0,2.0,2,9,6,17.08,4.03,-1.211
85,4.0,2.0,2,13,8,16.32,4.81,0.835
47,1.0,4.0,2,9,2,18.46,2.91,-1.542
20,14.0,5.0,2,5,2,22.06,6.44,3.792
57,1.0,1.0,2,11,5,20.99,4.84,-1.289
50,6.0,4.0,2,11,5,19.58,4.91,1.364
5,,1.0,5,1,0,19.02,13.37,-14.381
21,15.0,2.0,2,5,2,12.82,5.07,3.371
28,2.0,2.0,2,7,6,20.11,6.85,-2.585
5,4.0,1.0,5,1,1,19.65,13.97,14.386
18,3.0,7.0,2,1,2,16.34,4.49,-4.013
52,16.0,2.0,2,9,3,11.98,4.35,1.418
14,2.0,2.0,2,3,1,21.14,5.7,-5.252
19,1.0,10.0,2,1,2,14.24,4.6,3.576
58,11.0,6.0,2,13,5,16.46,4.22,-1.142
11,2.0,1.0,11,3,4,11.76,5.51,5.698
83,4.0,2.0,2,15,12,20.6,5.01,-0.881
16,1.0,1.0,9,3,2,18.9,6.35,4.464
29,12.0,1.0,2,5,2,16.8,4.74,-2.716
13,5.0,2.0,2,3,2,10.71,5.49,5.291
27,15.0,2.0,2,7,3,8.67,3.3,-2.488
55,2.0,8.0,10,10,6,16.01,4.59,1.213
22,8.0,2.0,2,5,1,12.65,4.28,-3.419
34,28.0,5.0,2,5,2,10.09,4.54,2.109
77,8.0,2.0,2,15,7,20.76,4.18,-0.917
24,1.0,3.0,2,3,5,16.39,7.07,2.765
12,3.0,2.0,2,1,1,10.36,5.82,-5.942
32,1.0,2.0,2,9,7,15.24,5.03,2.429
57,5.0,1.0,47,13,8,20.66,6.51,-1.182
27,10.0,6.0,2,5,4,12.41,4.7,2.537
36,3.0,2.0,17,7,4,12.01,3.87,-1.843
19,4.0,5.0,2,5,3,18.04,6.04,3.622
49,1.0,6.0,2,7,2,12.68,3.35,-1.342
51,1.0,1.0,4,11,9,16.66,4.77,1.292
54,6.0,1.0,20,15,5,14.47,3.33,-1.241
16,1.0,3.0,2,3,4,15.67,4.79,4.537
31,7.0,3.0,2,5,4,11.81,5.9,-2.22
17,2.0,5.0,2,3,1,11.39,5.06,3.801
18,6.0,3.0,2,3,3,14.81,4.72,-4.191
40,13.0,3.0,2,9,5,18.31,3.95,1.932
11,,1.0,2,1,0,13.67,5.96,-6.489
16,,3.0,2,3,0,15.08,5.3,4.532
10,8.0,2.0,10,3,1,16.09,6.47,-6.705
6,,1.0,6,1,0,17.51,9.82,10.111
8,1.0,3.0,2,1,1,19.65,9.45,-8.746
16,16.0,3.0,2,3,1,15.82,4.83,4.775
37,3.0,2.0,2,9,6,17.42,5.06,-1.825
12,12.0,2.0,2,3,1,22.44,8.21,5.761
41,18.0,5.0,2,9,2,10.87,3.25,-1.816
68,5.0,2.0,2,13,7,18.29,4.33,-0.96
14,3.0,7.0,2,1,2,15.81,5.48,4.973
23,13.0,3.0,2,5,4,13.67,4.89,3.014
28,21.0,4.0,2,5,2,16.42,4.65,-2.652
21,12.0,1.0,2,3,2,12.87,4.44,3.455
50,3.0,1.0,2,11,5,18.83,4.51,-1.41
54,5.0,1.0,12,11,8,13.49,5.75,1.174
7,2.0,1.0,7,1,2,15.94,9.41,-9.673
38,13.0,1.0,2,9,3,18.71,4.33,1.77
18,2.0,3.0,2,3,2,20.7,4.82,-3.943
31,30.0,4.0,2,7,1,21.57,5.15,2.097
11,4.0,1.0,2,3,2,20.44,7.44,-6.557
61,1.0,2.0,2,13,7,16.39,5.97,1.185
29,2.0,1.0,3,7,5,17.21,5.61,-2.185
45,6.0,1.0,3,11,3,16.09,3.07,1.482
76,2.0,4.0,2,15,11,18.37,6.22,-0.858
5,,1.0,5,1,0,18.89,12.58,13.115
15,12.0,4.0,2,1,1,14.81,5.56,-4.343
24,17.0,4.0,2,3,1,12.02,4.05,2.871
17,2.0,1.0,5,5,2,10.77,5.44,-4.3
31,7.0,2.0,2,7,3,15.46,5.59,2.286
13,3.0,2.0,2,1,2,16.55,5.3,-5.254
10,4.0,7.0,10,2,3,13.09,6.23,6.111
6,6.0,1.0,6,1,1,15.93,10.25,-10.755
48,3.0,3.0,2,9,6,18.58,3.67,1.521
9,,1.0,2,1,0,15.07,7.51,-7.709
24,17.0,1.0,10,7,1,20.81,5.43,-2.716
4,,1.0,4,1,0,20.77,15.48,16.133
32,3.0,1.0,15,5,5,10.16,4.43,-2.092
18,6.0,2.0,2,3,2,13.31,6.36,3.979
10,2.0,1.0,10,1,2,12.88,5.97,-6.202
72,6.0,3.0,2,17,9,17.41,6.22,0.918
30,1.0,3.0,2,5,6,15.16,4.75,-2.393
91,6.0,2.0,2,21,14,21.21,4.99,0.844
52,1.0,2.0,2,11,9,19.07,5.15,-1.451
22,6.0,2.0,2,3,2,13.66,5.61,3.477
28,2.0,2.0,2,7,5,13.71,4.41,-2.681
33,20.0,5.0,2,7,3,17.49,4.24,2.238
12,10.0,3.0,2,1,1,15.49,5.96,-5.227
18,3.0,8.0,2,3,1,14.38,4.66,3.498
40,1.0,5.0,2,7,8,22.19,5.43,-1.977
35,18.0,3.0,2,5,1,12.79,3.54,2.217
5,4.0,2.0,5,1,1,22.49,12.96,-13.38
10,9.0,2.0,2,1,1,10.87,6.98,6.896
27,11.0,5.0,2,3,5,15.54,5.65,-2.593
14,7.0,2.0,2,3,1,18.31,8.25,5.195
63,1.0,3.0,2,9,6,14.63,4.27,-1.194
73,18.0,8.0,2,11,8,19.96,4.4,0.983
48,14.0,2.0,2,11,6,14.98,5.47,-1.496
26,19.0,7.0,2,5,3,18.19,5.1,2.588
18,8.0,2.0,2,3,2,15.37,4.65,-3.77
21,1.0,2.0,7,5,3,15.67,5.44,3.068
15,2.0,5.0,2,1,2,11.33,5.67,-4.736
17,14.0,2.0,2,3,1,13.19,4.88,4.639
75,1.0,1.0,2,19,11,19.31,3.96,-0.979
77,1.0,2.0,2,17,8,16.56,5.02,0.963
24,7.0,3.0,2,5,1,12.1,4.54,-2.802
14,7.0,3.0,2,3,3,12.27,5.2,4.519
87,8.0,3.0,2,19,12,15.94,4.29,-0.791
45,4.0,2.0,2,9,5,20.9,4.19,-1.483
25,14.0,2.0,2,5,2,18.48,6.33,3.132
47,14.0,6.0,2,7,2,15.51,3.04,-1.525
9,3.0,2.0,2,1,1,14.01,8.62,-7.411
13,,2.0,2,1,0,9.49,5.78,5.677
85,3.0,1.0,12,17,14,19.6,6.64,0.727
20,4.0,1.0,5,5,3,10.26,4.53,-3.285
15,14.0,1.0,3,3,1,10.84,5.65,4.429
90,15.0,2.0,2,17,8,17.24,4.9,-0.8
7,5.0,3.0,2,1,2,18.86,9.33,8.799
11,9.0,5.0,2,1,1,21.25,7.22,-5.669
63,14.0,4.0,2,13,5,18.48,3.29,1.095
57,13.0,2.0,2,11,8,15.95,4.14,-1.255
92,14.0,3.0,2,19,9,16.93,4.97,-0.704
27,1.0,5.0,2,5,5,21.17,7.11,2.44
10,1.0,2.0,2,3,3,23.45,7.27,-7.373
48,1.0,2.0,2,11,5,15.75,5.66,1.618
25,14.0,4.0,2,5,2,21.07,3.87,-2.69
59,23.0,5.0,2,9,6,17.68,5.54,1.179
16,15.0,3.0,2,3,1,15.49,5.04,-4.611
23,2.0,2.0,2,5,3,13.43,4.23,3.019
6,2.0,2.0,2,1,2,22.16,11.49,-11.9
16,1.0,5.0,2,1,2,12.75,5.06,4.591
34,19.0,4.0,2,5,3,13.61,5.23,-2.098
17,9.0,2.0,2,3,2,21.72,6.22,4.655
7,4.0,1.0,7,1,2,15.46,10.06,-10.417
43,5.0,7.0,2,9,5,20.3,4.65,1.432
41,20.0,6.0,2,5,4,14.9,5.38,1.569
73,14.0,2.0,2,11,10,16.21,6.23,-0.916
11,7.0,2.0,2,1,2,14.72,5.87,5.859
35,5.0,1.0,6,7,4,13.79,4.97,-1.832
25,6.0,4.0,2,5,5,11.33,4.51,2.947
9,8.0,1.0,9,1,1,12.58,7.71,-8.16
50,26.0,12.0,2,7,4,15.7,3.71,-1.267
21,4.0,3.0,2,3,3,14.42,6.38,3.132
102,2.0,1.0,2,23,11,19.31,3.8,-0.671
4,4.0,1.0,4,1,1,20.35,15.74,16.411
62,4.0,1.0,5,15,8,17.92,4.74,-1.032
12,1.0,4.0,2,1,2,17.1,6.33,5.872
24,3.0,2.0,24,5,3,13.64,5.47,-3.035
23,8.0,2.0,2,5,1,15.29,4.31,3.364
