duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
20,4.0,1.0,6,5,3,20.78,4.67,-3.198
68,13.0,2.0,2,9,4,12.23,3.88,1.109
23,8.0,3.0,2,5,2,16.85,6.78,-3.095
25,2.0,6.0,2,5,4,11.64,3.64,2.607
16,5.0,2.0,2,3,2,14.28,5.33,4.171
13,,1.0,4,3,0,14.23,5.56,-4.807
38,8.0,2.0,2,7,8,14.78,6.77,1.915
13,8.0,2.0,2,1,1,14.48,4.99,-5.364
49,8.0,2.0,2,9,6,20.71,6.09,1.507
11,,1.0,11,1,0,9.74,5.95,-6.22
16,7.0,2.0,2,3,2,14.92,5.62,4.508
92,14.0,2.0,2,23,11,13.71,4.48,-0.743
91,14.0,2.0,2,21,11,15.06,4.34,0.822
33,7.0,3.0,2,7,7,16.19,7.35,-2.279
61,13.0,2.0,2,11,4,11.39,3.66,1.181
15,10.0,1.0,4,5,2,13.65,5.25,-4.903
15,14.0,1.0,5,3,1,16.15,5.59,4.515
48,5.0,2.0,2,9,5,18.81,5.08,-1.392
23,2.0,2.0,2,7,2,18.02,5.07,3.152
42,5.0,1.0,2,9,3,16.55,4.64,-1.677
38,3.0,1.0,16,9,6,12.98,5.12,1.942
80,8.0,1.0,2,17,8,18.39,5.78,-0.877
7,1.0,3.0,2,1,2,20.0,10.52,10.183
35,18.0,3.0,2,5,4,14.24,5.74,-2.115
12,2.0,1.0,3,3,2,19.49,7.69,5.325
46,11.0,3.0,2,9,5,14.54,4.55,-1.47
18,17.0,2.0,2,3,1,13.86,4.43,4.097
57,1.0,4.0,2,15,7,18.53,4.94,1.189
28,14.0,3.0,2,5,3,13.97,5.47,-2.435
64,5.0,2.0,2,9,6,16.91,5.23,1.118
12,3.0,1.0,12,1,3,8.16,5.42,-5.562
54,14.0,4.0,2,7,6,19.21,6.18,1.229
31,14.0,2.0,2,7,1,15.63,5.23,-2.535
12,3.0,1.0,2,1,2,11.3,6.02,6.32
17,9.0,1.0,2,3,2,15.4,5.74,-3.895
22,3.0,3.0,2,3,2,14.3,6.88,3.245
6,6.0,1.0,6,1,1,17.58,10.72,-11.122
31,1.0,1.0,2,7,4,15.55,4.47,2.214
38,18.0,4.0,2,9,6,17.79,4.9,-2.056
55,15.0,1.0,2,13,6,15.28,4.5,1.341
68,12.0,2.0,2,15,8,16.77,4.63,-0.992
92,12.0,1.0,2,19,10,17.46,4.68,0.702
14,7.0,4.0,2,1,1,12.42,5.47,4.713
53,9.0,3.0,2,9,9,23.85,5.92,-1.313
6,6.0,1.0,6,1,1,18.32,10.8,11.223
36,3.0,7.0,10,6,4,15.71,4.74,-1.736
35,15.0,3.0,2,5,4,8.65,3.58,2.089
61,10.0,4.0,2,11,8,18.57,5.71,-1.127
29,2.0,2.0,2,7,6,12.51,4.74,2.78
11,11.0,1.0,11,1,1,9.21,5.99,-6.397
121,10.0,3.0,2,27,18,17.18,5.2,0.3
