frac,wr_train,wr_test,k_test,base,lift,ci_lo,ci_hi,include_zero
0.2,0.674,0.429,56,0.363,0.066,-0.059,0.173,True
0.3,0.591,0.388,85,0.363,0.026,-0.057,0.155,True
